WELL,MD,POROSITY,PERMEABILITY,PTS,RT
WELL_2,3874,0.213,1127.639,23.93073482,Mega
WELL_2,3874.199951,0.217,1938.426,32.38313833,Mega
WELL_2,3874.399902,0.199,161.166,8.08477089,Macro
WELL_2,3874.75,0.204,72.744,4.956969835,Macro
WELL_2,3875,0.191,216.873,9.97415234,Macro
WELL_2,3875.5,0.146,6.457,1.593298822,Meso
WELL_2,3875.75,0.123,0.514,0.417223054,Micro
WELL_2,3876,0.08,0.064,0.177731365,Micro
WELL_2,3876.550049,0.072,0.096,0.247081488,Micro
WELL_2,3877,0.039,0.007,0.08999903,Nano
WELL_2,3877.25,0.24,46.136,3.295740212,Macro
WELL_2,3877.550049,0.282,199.832,6.788531085,Macro
WELL_2,3877.800049,0.272,132.072,5.489960131,Macro
WELL_2,3878,0.241,104.931,5.323885622,Macro
WELL_2,3878.199951,0.231,62.164,4.059197225,Macro
WELL_2,3878.5,0.207,43.745,3.629673268,Macro
WELL_2,3878.75,0.116,1.773,0.90896892,Meso
WELL_2,3879,0.135,4.043,1.294593505,Meso
WELL_2,3879.25,0.12,1.641,0.843473124,Meso
WELL_2,3879.5,0.083,0.128,0.258795065,Micro
WELL_2,3879.75,0.094,0.16,0.264996467,Micro
WELL_2,3880,0.207,22.947,2.483753316,Macro
WELL_2,3881.25,0.224,62.661,4.18812984,Macro
WELL_2,3881.5,0.202,37.595,3.39119614,Macro
WELL_2,3882.399902,0.202,28.189,2.863012621,Macro
WELL_2,3882.600098,0.205,31.448,3.014597719,Macro
WELL_2,3882.800049,0.202,28.227,2.865281357,Macro
WELL_2,3883,0.214,37.126,3.202530379,Macro
WELL_2,3883.25,0.208,38.015,3.32818007,Macro
WELL_2,3883.5,0.209,35.641,3.191097977,Macro
WELL_2,3883.800049,0.209,46.8,3.745399692,Macro
WELL_2,3884.100098,0.179,30.019,3.29794918,Macro
WELL_2,3884.350098,0.163,27.415,3.390057004,Macro
WELL_2,3884.600098,0.166,25.952,3.231164446,Macro
WELL_2,3884.850098,0.164,29.546,3.523937093,Macro
WELL_2,3885.100098,0.178,32.465,3.470159025,Macro
WELL_2,3885.350098,0.184,51.325,4.41439131,Macro
WELL_2,3885.600098,0.184,37.408,3.665223992,Macro
WELL_2,3885.850098,0.174,32.821,3.561744097,Macro
WELL_2,3886.149902,0.198,183.703,8.769637258,Macro
WELL_2,3886.350098,0.204,298.594,11.37174751,Mega
WELL_2,3886.600098,0.201,197.176,9.02428472,Macro
WELL_2,3886.850098,0.2,235.702,10.06606395,Mega
WELL_2,3887.100098,0.203,248.214,10.24427603,Mega
WELL_2,3887.350098,0.18,26.736,3.066036057,Macro
WELL_2,3887.600098,0.198,66.382,4.819998148,Macro
WELL_2,3887.850098,0.207,116.739,6.46434626,Macro
WELL_2,3888.149902,0.204,118.567,6.606482185,Macro
WELL_2,3888.350098,0.203,89.137,5.6099312,Macro
WELL_2,3888.600098,0.204,110.119,6.32549539,Macro
WELL_2,3888.850098,0.202,92.648,5.763363522,Macro
WELL_2,3889.100098,0.199,54.697,4.282658885,Macro
WELL_2,3889.350098,0.198,18.219,2.253562995,Macro
WELL_2,3889.600098,0.211,94.38,5.611117753,Macro
WELL_2,3889.850098,0.197,46.424,3.923067715,Macro
WELL_2,3890.149902,0.214,102.218,5.809310624,Macro
WELL_2,3890.350098,0.208,75.207,4.97087839,Macro
WELL_2,3890.600098,0.204,41.018,3.539227909,Macro
WELL_2,3890.850098,0.221,116.776,6.110109444,Macro
WELL_2,3891.100098,0.217,93.509,5.447040402,Macro
WELL_2,3891.350098,0.193,46.424,3.993218816,Macro
WELL_2,3891.600098,0.145,0.514,0.361929814,Micro
WELL_2,3891.850098,0.18,5.085,1.155429997,Meso
WELL_2,3892.149902,0.139,2.163,0.873873251,Meso
WELL_2,3892.350098,0.199,42.478,3.691062589,Macro
WELL_2,3892.600098,0.161,36.42,4.049210261,Macro
WELL_2,3892.850098,0.211,94.279,5.607586215,Macro
WELL_2,3893.100098,0.204,59.907,4.422179302,Macro
WELL_2,3893.350098,0.202,96.886,5.916950011,Macro
WELL_2,3893.600098,0.147,21.744,3.234397653,Macro
WELL_2,3893.800049,0.156,62.758,5.730199927,Macro
WELL_2,3894.100098,0.207,67.115,4.668437437,Macro
WELL_2,3894.350098,0.128,0.337,0.314497334,Micro
WELL_2,3894.600098,0.18,3.969,0.99877817,Meso
WELL_2,3894.850098,0.144,0.905,0.507790032,Meso
WELL_2,3895.100098,0.221,34.196,2.967717495,Macro
WELL_2,3895.350098,0.222,41.551,3.314949681,Macro
WELL_2,3895.600098,0.225,34.918,2.958198608,Macro
WELL_2,3895.850098,0.222,51.198,3.747932768,Macro
WELL_2,3896.149902,0.222,47.69,3.594730162,Macro
WELL_2,3896.350098,0.222,53.31,3.83808453,Macro
WELL_2,3896.600098,0.206,17.892,2.154676865,Macro
WELL_2,3896.850098,0.218,51.926,3.839015738,Macro
WELL_2,3897.100098,0.214,50.32,3.829534547,Macro
WELL_2,3897.350098,0.207,31.663,3.001416276,Macro
WELL_2,3897.600098,0.206,28.922,2.857728558,Macro
WELL_2,3897.850098,0.201,41.052,3.586568969,Macro
WELL_2,3898.149902,0.188,29.13,3.105702297,Macro
WELL_2,3898.350098,0.167,34.758,3.816921067,Macro
WELL_2,3898.600098,0.168,22.319,2.926533657,Macro
WELL_2,3898.850098,0.174,84.756,6.221995253,Macro
WELL_2,3899.149902,0.166,45.14,4.474132136,Macro
WELL_2,3899.600098,0.2,1022.282,23.85270646,Mega
WELL_2,3899.850098,0.199,1015.532,23.86309589,Mega
WELL_2,3900.149902,0.207,1004.779,22.92023704,Mega
WELL_2,3900.350098,0.217,1776.619,30.76523521,Mega
WELL_2,3900.600098,0.202,1055.264,24.09421364,Mega
WELL_2,3900.850098,0.188,699.655,20.1335045,Mega
WELL_2,3901.100098,0.195,751.658,20.34745154,Mega
WELL_2,3901.350098,0.197,1865.9969,34.42522602,Mega
WELL_2,3901.600098,0.189,811.201,21.86273778,Mega
WELL_2,3901.850098,0.174,274.461,12.41629626,Mega
WELL_2,3902.149902,0.194,850.829,21.98298018,Mega
WELL_2,3902.350098,0.199,965.917,23.17050771,Mega
WELL_2,3902.600098,0.193,268.273,11.20164335,Mega
WELL_2,3902.850098,0.187,169.699,8.793874643,Macro
WELL_2,3903.100098,0.184,129.016,7.590245479,Macro
WELL_2,3903.350098,0.19,149.925,8.064377228,Macro
WELL_2,3903.600098,0.175,436.078,16.22104623,Mega
WELL_2,3903.850098,0.176,132.284,8.004300015,Macro
WELL_2,3904.149902,0.186,295.005,12.22926877,Mega
WELL_2,3904.350098,0.185,306.632,12.56882566,Mega
WELL_2,3904.600098,0.186,194.546,9.57383486,Macro
WELL_2,3904.850098,0.192,754.944,20.67481367,Mega
WELL_2,3905.100098,0.187,448.794,15.57874658,Mega
WELL_2,3905.350098,0.183,703.766,20.67902642,Mega
WELL_2,3905.600098,0.17,88.938,6.530636316,Macro
WELL_2,3905.850098,0.173,114.927,7.479220621,Macro
WELL_2,3906.149902,0.181,137.88,8.005573715,Macro
WELL_2,3906.350098,0.185,386.762,14.40723299,Mega
WELL_2,3906.600098,0.188,81.876,5.702479192,Macro
WELL_2,3907.350098,0.211,221.732,9.271863786,Macro
WELL_2,3907.850098,0.19,1345.3979,29.3036101,Mega
WELL_2,3908.100098,0.11,0.22,0.278985259,Micro
WELL_2,3908.850098,0.214,24.223,2.49142904,Macro
WELL_2,3909.100098,0.231,118.474,5.931022939,Macro
WELL_2,3909.600098,0.228,94.239,5.243145691,Macro
WELL_2,3909.850098,0.223,85.278,5.039608017,Macro
WELL_2,3910.149902,0.223,92.306,5.279828283,Macro
WELL_2,3910.350098,0.22,81.891,4.978857246,Macro
WELL_2,3910.600098,0.232,114.197,5.782549268,Macro
WELL_2,3910.850098,0.226,122.904,6.176111486,Macro
WELL_2,3911.100098,0.232,142.557,6.588152552,Macro
WELL_2,3911.350098,0.229,117.518,5.947350387,Macro
WELL_2,3911.600098,0.236,132.152,6.208624419,Macro
WELL_2,3911.850098,0.211,49.462,3.837529283,Macro
WELL_2,3912.149902,0.209,44.769,3.648953393,Macro
WELL_2,3912.350098,0.231,150.643,6.830826199,Macro
WELL_2,3912.600098,0.228,143.617,6.717092552,Macro
WELL_2,3912.850098,0.235,180.679,7.489607899,Macro
WELL_2,3913.100098,0.217,145.683,7.069410639,Macro
WELL_2,3913.350098,0.204,117.006,6.555199559,Macro
WELL_2,3913.600098,0.201,118.74,6.697329537,Macro
WELL_2,3913.850098,0.207,143.109,7.286748603,Macro
WELL_2,3914.199951,0.195,36.959,3.461222996,Macro
WELL_2,3914.399902,0.194,29.857,3.066665816,Macro
WELL_2,3914.600098,0.185,18.738,2.429544671,Macro
WELL_2,3914.850098,0.199,27.895,2.882441122,Macro
WELL_2,3915.149902,0.204,41.299,3.553464511,Macro
WELL_2,3915.350098,0.212,50.207,3.855628733,Macro
WELL_2,3915.600098,0.217,65.685,4.42556698,Macro
WELL_2,3916.300049,0.221,71.349,4.573378599,Macro
WELL_2,3916.600098,0.242,170.088,7.04724945,Macro
WELL_2,3916.800049,0.232,134.77,6.374104795,Macro
WELL_2,3917,0.23,129.083,6.261208285,Macro
WELL_2,3917.350098,0.231,95.717,5.23191678,Macro
WELL_2,3917.600098,0.228,132.152,6.396400542,Macro
WELL_2,3917.850098,0.193,22.628,2.617040436,Macro
WELL_2,3918.100098,0.194,18.156,2.288986165,Macro
WELL_2,3918.350098,0.207,31.183,2.974577877,Macro
WELL_2,3918.600098,0.198,29.816,3.010630873,Macro
WELL_2,3918.850098,0.166,9.89,1.832322993,Meso
WELL_2,3919.100098,0.202,31.894,3.078628623,Macro
WELL_2,3919.350098,0.15,2.979,0.987667147,Meso
